batch_size,lr,factor,HR,NDCG
128,0.0001,8,0.4645695364238411,0.25884657040869
128,0.0001,16,0.4640728476821192,0.25856445094004993
128,0.0001,32,0.46605960264900664,0.2618044388508078
128,0.0001,64,0.5071192052980132,0.2787693755549461
128,0.0005,8,0.4880794701986755,0.27151413956845305
128,0.0005,16,0.5298013245033113,0.2925107338588148
128,0.0005,32,0.5793046357615894,0.3217757485308255
128,0.0005,64,0.6172185430463576,0.3498799722741847
128,0.001,8,0.5364238410596026,0.29671493179804076
128,0.001,16,0.5922185430463576,0.32722283562587895
128,0.001,32,0.6135761589403973,0.34966032579933976
128,0.001,64,0.6399006622516556,0.3694364588899866
128,0.005,8,0.6231788079470199,0.35359263682732717
128,0.005,16,0.6268211920529801,0.35995244885246197
128,0.005,32,0.6018211920529801,0.33850193979666604
128,0.005,64,0.9395695364238411,0.35723057193885555
256,0.0001,8,0.4632450331125828,0.2587540996634352
256,0.0001,16,0.46357615894039733,0.2587570830619365
256,0.0001,32,0.4642384105960265,0.2572837071321502
256,0.0001,64,0.47996688741721855,0.2651232654821878
256,0.0005,8,0.469205298013245,0.26075017357907815
256,0.0005,16,0.4943708609271523,0.2728243220240891
256,0.0005,32,0.5506622516556291,0.3037184970897493
256,0.0005,64,0.5899006622516556,0.32936318931840874
256,0.001,8,0.5165562913907285,0.2872219018084921
256,0.001,16,0.5614238410596026,0.31028971401353544
256,0.001,32,0.6100993377483444,0.3423918865071695
256,0.001,64,0.6205298013245033,0.3534860769614587
256,0.005,8,1.0,0.35620718710804977
256,0.005,16,0.643046357615894,0.37033054542385735
256,0.005,32,0.6264900662251656,0.35223761488044303
256,0.005,64,0.6327814569536424,0.3592353850100308
512,0.0001,8,0.4597682119205298,0.2561660577523854
512,0.0001,16,0.4644039735099338,0.25799503981292027
512,0.0001,32,0.4602649006622517,0.25600358862008127
512,0.0001,64,0.4639072847682119,0.2545336430825853
512,0.0005,8,0.46572847682119206,0.26057969803809045
512,0.0005,16,0.4735099337748344,0.26327283137558666
512,0.0005,32,0.5071192052980132,0.28123091401976347
512,0.0005,64,0.5839403973509933,0.326442419098186
512,0.001,8,0.47913907284768215,0.2638041597123045
512,0.001,16,0.5185430463576159,0.2843645785036108
512,0.001,32,0.5842715231788079,0.32443825451665653
512,0.001,64,0.6077814569536424,0.34596938622091206
512,0.005,8,0.6039735099337749,0.3408862181067012
512,0.005,16,0.6362582781456954,0.3656955769793328
512,0.005,32,0.6508278145695364,0.3786359047689626
512,0.005,64,0.65,0.38025387270592964
1024,0.0001,8,0.4607615894039735,0.2564269144312096
1024,0.0001,16,0.4607615894039735,0.25670097650046214
1024,0.0001,32,0.4640728476821192,0.2575622630706044
1024,0.0001,64,0.46274834437086093,0.2565987863908938
1024,0.0005,8,0.4687086092715232,0.2617095166593232
1024,0.0005,16,0.46556291390728477,0.2593683701717083
1024,0.0005,32,0.4955298013245033,0.27650696313770384
1024,0.0005,64,0.5425496688741722,0.30089956763967207
1024,0.001,8,0.47235099337748343,0.261892374394238
1024,0.001,16,0.49503311258278143,0.2747453218757279
1024,0.001,32,0.5437086092715232,0.2996715116279102
1024,0.001,64,0.5980132450331126,0.3335808860439906
1024,0.005,8,0.5860927152317881,0.326184677829656
1024,0.005,16,0.6254966887417218,0.3524951690738755
1024,0.005,32,0.6387417218543047,0.3682035658689652
1024,0.005,64,0.6551324503311259,0.38098781945446947
