Wall time,Step,Value
1716838782.481108,0,0.3041333846066508
1716838899.708388,1,0.3312676644286674
1716839015.854081,2,0.35130874282961544
1716839135.49551,3,0.3603032369311809
1716839256.650987,4,0.3652073074633866
1716839374.835873,5,0.3702642017397835
1716839494.422378,6,0.37274227960031564
1716839613.801147,7,0.3740798238343448
1716839732.249682,8,0.3766084035754799
1716839850.056719,9,0.3799662231792339
1716839968.095258,10,0.38435996756583163
1716840088.785022,11,0.38392355812824935
1716840207.298462,12,0.3863988523924027
1716840326.878856,13,0.38807208722533787
1716840446.567482,14,0.39038890474704047
1716840565.107111,15,0.38872938915363775
1716840681.679422,16,0.39471005840132223
1716840800.527865,17,0.3937226205894591
1716840920.886859,18,0.39656266761721043
1716841040.082629,19,0.3947602362001729
1716841157.284154,20,0.3991372556861577
1716841274.453125,21,0.3965586157286455
1716841391.803501,22,0.3973276221569594
1716841511.285877,23,0.3973861823063991
1716841630.741419,24,0.39852363203876306
1716841750.475041,25,0.39923757442537416
1716841869.081383,26,0.3994011403374155
1716841989.10151,27,0.40166333015214506
1716842112.418012,28,0.40018140555534626
1716842229.922177,29,0.4020223669689582
1716842344.691421,30,0.40068490758488456
1716842464.530571,31,0.4058891070333896
1716842581.668773,32,0.40475663369564857
1716842700.654938,33,0.404331082252962
1716842818.30301,34,0.4013642921790405
1716842938.222001,35,0.4047854072615112
1716843059.805167,36,0.4047918951029775
1716843178.846199,37,0.4033792185759498
1716843299.000317,38,0.40386797149799525
1716843420.385566,39,0.4030898784761146
1716843539.942731,40,0.4044017057359625
1716843659.611994,41,0.40290693604799827
1716843780.934707,42,0.4063633002722088
1716843903.307428,43,0.4075556724380675
1716844025.724339,44,0.40715088978447284
1716844144.892658,45,0.403181436825933
1716844263.708291,46,0.40229111812071106
1716844381.709033,47,0.4059143754538891
1716844503.395056,48,0.4055027576016147
1716844625.41611,49,0.4066705592599374
