Wall time,Step,Value
1716830953.594629,0,0.5312913907284769
1716831077.599138,1,0.5778145695364238
1716831200.164729,2,0.6223509933774835
1716831321.375317,3,0.6380794701986755
1716831445.774814,4,0.6450331125827815
1716831568.266884,5,0.6513245033112582
1716831694.779045,6,0.654635761589404
1716831818.207223,7,0.6579470198675497
1716831946.114953,8,0.6551324503311259
1716832072.730485,9,0.659271523178808
1716832201.551316,10,0.6635761589403973
1716832329.335441,11,0.6708609271523179
1716832451.366453,12,0.6677152317880795
1716832570.645764,13,0.6675496688741722
1716832689.794798,14,0.6701986754966888
1716832813.304985,15,0.6708609271523179
1716832934.059451,16,0.6687086092715232
1716833054.985669,17,0.6721854304635762
1716833174.347034,18,0.6733443708609271
1716833294.485482,19,0.6735099337748345
1716833413.939766,20,0.6779801324503312
1716833535.790228,21,0.6786423841059602
1716833655.444836,22,0.680794701986755
1716833775.236368,23,0.6789735099337748
1716833897.29275,24,0.6776490066225166
1716834018.289188,25,0.6821192052980133
1716834142.280977,26,0.6798013245033112
1716834262.964705,27,0.6768211920529801
1716834387.782625,28,0.6789735099337748
1716834511.872578,29,0.6802980132450331
1716834631.568913,30,0.6766556291390728
1716834752.126733,31,0.6779801324503312
1716834872.622714,32,0.680794701986755
1716834990.268758,33,0.6804635761589404
1716835108.622078,34,0.6806291390728477
1716835229.345452,35,0.6794701986754967
1716835347.215392,36,0.6841059602649007
1716835468.308482,37,0.6819536423841059
1716835587.334336,38,0.6794701986754967
1716835705.692069,39,0.6794701986754967
1716835824.154578,40,0.6857615894039735
1716835943.911289,41,0.6855960264900662
1716836061.540827,42,0.6846026490066225
1716836179.235149,43,0.6829470198675497
1716836298.646594,44,0.6846026490066225
1716836416.378043,45,0.6827814569536423
1716836537.900763,46,0.6827814569536423
1716836659.35585,47,0.6809602649006623
1716836778.642723,48,0.679635761589404
1716836895.273225,49,0.6837748344370861
