Wall time,Step,Value
1716788102.193835,0,0.2994909192287817
1716788231.211047,1,0.33068414328592816
1716788361.767723,2,0.3569565374977026
1716788488.180035,3,0.3651127396535559
1716788613.840306,4,0.36852178897543564
1716788738.232038,5,0.37231899722347234
1716788864.362428,6,0.3786769404339066
1716788988.788267,7,0.377625014825566
1716789116.88812,8,0.3800098688411462
1716789240.112893,9,0.3803647840495512
1716789366.086432,10,0.38540077009274654
1716789490.835259,11,0.38514532071059165
1716789618.913648,12,0.3846653387490787
1716789746.485024,13,0.3904901711987878
1716789877.269859,14,0.39292319997496106
1716790002.994122,15,0.39379451494123957
1716790132.386142,16,0.39344731843766045
1716790259.355088,17,0.39738932485186385
1716790388.467776,18,0.3986715030161467
1716790514.92073,19,0.39757711716197913
1716790639.9053,20,0.3981784768454785
1716790765.505486,21,0.3979943009449901
1716790892.91728,22,0.39652021217473976
1716791013.203072,23,0.40121725719572204
1716791138.63982,24,0.3991760583852684
1716791268.288668,25,0.3991678621473987
1716791398.696527,26,0.40135166704142594
1716791524.560617,27,0.40337407256644464
1716791651.64853,28,0.4028298397944756
1716791777.291119,29,0.4046980179687548
1716791907.52132,30,0.40151082734283394
1716792034.075126,31,0.4041589275476513
1716792158.582453,32,0.4041109334093943
1716792280.189738,33,0.4060427374346996
1716792408.221704,34,0.40739501194625305
1716792537.339867,35,0.4051335826525652
1716792667.52454,36,0.4040098762987998
1716792795.891401,37,0.40361017710647623
1716792923.608533,38,0.40619580870309585
1716793052.369353,39,0.40599270559540235
1716793180.128473,40,0.40597036465453057
1716793308.310945,41,0.4046371801521173
1716793441.270954,42,0.40460453753203257
1716793577.174756,43,0.4092954027113044
1716793711.209655,44,0.4087224285039043
1716793839.371586,45,0.4072622958566177
1716793968.578024,46,0.4075183879635006
1716794099.976439,47,0.4061293052413429
1716794231.872095,48,0.40528139352307435
1716794359.733655,49,0.40709842785281136
