Wall time,Step,Value
1716794742.598505,0,0.24890344497203606
1716794859.417725,1,0.27244246167674663
1716794981.803388,2,0.3019565702194632
1716795100.946148,3,0.3143960292546303
1716795220.714537,4,0.32958798759209723
1716795339.315627,5,0.3429675830903573
1716795459.762317,6,0.351218847480769
1716795578.658193,7,0.3560539388608867
1716795699.875347,8,0.3591288723619139
1716795820.272441,9,0.3624740502229076
1716795937.950337,10,0.36656423202556493
1716796055.293398,11,0.365616630963333
1716796175.845123,12,0.3671631112518469
1716796296.313296,13,0.36810135115253045
1716796414.88962,14,0.3684582265638127
1716796533.457683,15,0.36634900249240115
1716796650.564993,16,0.366959037585591
1716796771.343691,17,0.3694055305573161
1716796891.53636,18,0.36864495262232333
1716797007.18214,19,0.36963442036639393
1716797122.109606,20,0.36851939210970663
1716797234.897578,21,0.3658051248789065
1716797348.215604,22,0.36642984124140343
1716797463.474741,23,0.36772152379711565
1716797577.501138,24,0.3675533021093175
1716797690.625214,25,0.3674038484070991
1716797803.948148,26,0.36697363815854683
1716797917.227047,27,0.36618158985760424
1716798033.068547,28,0.3686636495095432
1716798150.28771,29,0.3680552664735821
1716798266.713437,30,0.36751142304085915
1716798384.851367,31,0.3682516459996865
1716798502.835376,32,0.3681463765900817
1716798618.270488,33,0.36923368367906145
1716798736.661822,34,0.36848810991731207
1716798852.318472,35,0.36810606993189027
1716798969.84623,36,0.36893293556080314
1716799086.598688,37,0.36764186784482483
1716799202.818961,38,0.36620368610421333
1716799322.243971,39,0.36830432031430765
1716799441.324326,40,0.3692689995576692
1716799558.297566,41,0.37061616798690894
1716799678.386762,42,0.36878486912265573
1716799797.275815,43,0.3681267064858999
1716799919.309648,44,0.3681392618601069
1716800037.753676,45,0.36807313835188926
1716800154.772526,46,0.36819344825533695
1716800269.195939,47,0.3703041353145353
1716800384.783699,48,0.36756581009749706
1716800499.879031,49,0.3691391391918207
