,alias,epoch,hit_ratio,ndcg
0,gmf,0,0.4562913907284768,0.25487488226139865
1,gmf,1,0.4793046357615894,0.2677695489588228
2,gmf,2,0.5397350993377483,0.300158519569032
3,gmf,3,0.5735099337748344,0.32533859849325364
4,gmf,4,0.596523178807947,0.33848209383573913
5,gmf,5,0.6163907284768212,0.3517326602498246
6,gmf,6,0.627317880794702,0.35644489557699904
7,gmf,7,0.6349337748344371,0.3638719102704555
8,gmf,8,0.6339403973509934,0.3626457578418452
9,gmf,9,0.6362582781456954,0.36478043436860874
10,gmf,10,0.6359271523178808,0.366655001896511
11,gmf,11,0.6428807947019868,0.3688261875034519
12,gmf,12,0.6425496688741722,0.3687016337023672
13,gmf,13,0.641887417218543,0.36683926265775485
14,gmf,14,0.6395695364238411,0.3668918491147222
15,gmf,15,0.6410596026490066,0.3694061797175929
16,gmf,16,0.6408940397350993,0.36900482357981496
17,gmf,17,0.6415562913907285,0.36899662032554903
18,gmf,18,0.6428807947019868,0.36898035645125515
19,gmf,19,0.6403973509933775,0.37013302853823793
20,gmf,20,0.6389072847682119,0.3681873949939414
21,gmf,21,0.6397350993377483,0.36626593364902355
22,gmf,22,0.641887417218543,0.3673375680166903
23,gmf,23,0.6403973509933775,0.3656451613035523
24,gmf,24,0.6395695364238411,0.3680280814957773
25,gmf,25,0.6379139072847683,0.36743627486235303
26,gmf,26,0.6385761589403973,0.36640221753448515
27,gmf,27,0.6382450331125827,0.36778597544297426
28,gmf,28,0.6390728476821192,0.3685580532191981
29,gmf,29,0.6400662251655629,0.3684338881013131
30,gmf,30,0.640728476821192,0.3679896952973286
31,gmf,31,0.6433774834437086,0.3692722774461247
32,gmf,32,0.6445364238410596,0.3692915846831819
33,gmf,33,0.6428807947019868,0.36863157013624326
34,gmf,34,0.6410596026490066,0.36856746298787796
35,gmf,35,0.6440397350993378,0.3699740428505361
36,gmf,36,0.6427152317880794,0.37091114717416496
37,gmf,37,0.6433774834437086,0.37063928002540986
38,gmf,38,0.6395695364238411,0.36762157931991774
39,gmf,39,0.6428807947019868,0.3693809927665971
40,gmf,40,0.6423841059602649,0.3687233448421555
41,gmf,41,0.6405629139072848,0.36870041649555424
42,gmf,42,0.6417218543046358,0.3692586051755581
43,gmf,43,0.643046357615894,0.3692321516816528
44,gmf,44,0.6423841059602649,0.3688483773291128
45,gmf,45,0.6423841059602649,0.3689830918051007
46,gmf,46,0.6450331125827815,0.37058359393348334
47,gmf,47,0.6427152317880794,0.3706322370974901
48,gmf,48,0.644205298013245,0.36931456848687444
