,alias,epoch,hit_ratio,ndcg
0,mlp_0,0,0.44834437086092715,0.2506256351111283
1,mlp_0,1,0.44751655629139075,0.2500237570199245
2,mlp_0,2,0.44519867549668873,0.24802113215429644
3,mlp_0,3,0.44834437086092715,0.25192604209387287
4,mlp_0,4,0.44966887417218543,0.2515030183479646
5,mlp_0,5,0.45364238410596025,0.2509356312838985
6,mlp_0,6,0.4508278145695364,0.25226307505431944
7,mlp_0,7,0.44884105960264903,0.25061170596535093
8,mlp_0,8,0.44884105960264903,0.2500082427625367
9,mlp_0,9,0.45331125827814567,0.2520147550627131
10,mlp_0,10,0.45281456953642385,0.25238115891651813
11,mlp_0,11,0.4514900662251656,0.252113636055704
12,mlp_0,12,0.45248344370860927,0.2516261839371756
13,mlp_0,13,0.4543046357615894,0.25351652203407116
14,mlp_0,14,0.45281456953642385,0.2512120744552817
15,mlp_0,15,0.44933774834437085,0.25182343994672085
16,mlp_0,16,0.4509933774834437,0.251083605997454
17,mlp_0,17,0.45165562913907287,0.2519443605264959
18,mlp_0,18,0.4506622516556291,0.25087880117812295
19,mlp_0,19,0.4519867549668874,0.25218278943922856
20,mlp_0,20,0.4509933774834437,0.25098797562977443
21,mlp_0,21,0.45380794701986754,0.25311160435831875
22,mlp_0,22,0.45364238410596025,0.2502542047646445
23,mlp_0,23,0.45298013245033114,0.25224480422074586
24,mlp_0,24,0.4514900662251656,0.2519884700581968
25,mlp_0,25,0.45264900662251656,0.2531353861177718
26,mlp_0,26,0.45298013245033114,0.25222793266085336
27,mlp_0,27,0.45,0.25161922165421075
28,mlp_0,28,0.4514900662251656,0.251199622339011
29,mlp_0,29,0.45281456953642385,0.25120862405354755
30,mlp_0,30,0.4506622516556291,0.25173868233658
31,mlp_0,31,0.45182119205298016,0.2508199895598196
32,mlp_0,32,0.4519867549668874,0.25080690557175295
33,mlp_0,33,0.4513245033112583,0.2516394729902943
34,mlp_0,34,0.45331125827814567,0.2516688754875667
35,mlp_0,35,0.452317880794702,0.25173696427617775
36,mlp_0,36,0.45248344370860927,0.2518588919487287
37,mlp_0,37,0.452317880794702,0.251479346206295
38,mlp_0,38,0.4543046357615894,0.2520948202093295
39,mlp_0,39,0.45380794701986754,0.2520622007048154
40,mlp_0,40,0.451158940397351,0.2511707894961428
41,mlp_0,41,0.4514900662251656,0.2511754910833927
42,mlp_0,42,0.4521523178807947,0.2519481125193298
43,mlp_0,43,0.4508278145695364,0.2511443850924246
44,mlp_0,44,0.4519867549668874,0.25164360870546504
45,mlp_0,45,0.45347682119205296,0.25181745539703865
46,mlp_0,46,0.454635761589404,0.2534608673882982
47,mlp_0,47,0.45281456953642385,0.251858240527764
48,mlp_0,48,0.4541390728476821,0.25263684539786563
49,mlp_0,49,0.45331125827814567,0.25280770998178587
50,mlp_1,0,0.45314569536423843,0.24636247661447264
51,mlp_1,1,0.4478476821192053,0.24572233259564696
52,mlp_1,2,0.4912251655629139,0.2714559819954203
53,mlp_1,3,0.5004966887417218,0.2781280438657632
54,mlp_1,4,0.5057947019867549,0.27904425455642257
55,mlp_1,5,0.5216887417218543,0.289087770228874
56,mlp_1,6,0.528476821192053,0.2950487343354694
57,mlp_1,7,0.5375827814569536,0.2991430499635205
58,mlp_1,8,0.5395695364238411,0.30229947704191534
59,mlp_1,9,0.5480132450331126,0.3044635269035393
60,mlp_1,10,0.5508278145695364,0.30819645856176137
61,mlp_1,11,0.555794701986755,0.3085170687284246
62,mlp_1,12,0.56158940397351,0.3119138840551094
63,mlp_1,13,0.5617549668874172,0.3159526660641194
64,mlp_1,14,0.5640728476821192,0.3178318579986155
65,mlp_1,15,0.5682119205298013,0.3189968621737783
66,mlp_1,16,0.5650662251655629,0.31926612672452187
67,mlp_1,17,0.570364238410596,0.3219761561231825
68,mlp_1,18,0.5745033112582781,0.31901468269334166
69,mlp_1,19,0.5754966887417219,0.32395813283534364
70,mlp_1,20,0.5793046357615894,0.3250383096140633
71,mlp_1,21,0.5743377483443709,0.32543712821861914
72,mlp_1,22,0.5763245033112583,0.3287953845708753
73,mlp_1,23,0.5781456953642384,0.33126480160306354
74,mlp_1,24,0.5817880794701987,0.3316607941278607
75,mlp_1,25,0.5827814569536424,0.33260865825914876
76,mlp_1,26,0.5864238410596027,0.33273265946917047
77,mlp_1,27,0.5869205298013245,0.33460436866984383
78,mlp_1,28,0.5903973509933775,0.3378866113578425
79,mlp_1,29,0.5905629139072848,0.3368361437364583
80,mlp_1,30,0.5890728476821192,0.3367804866919352
81,mlp_1,31,0.5880794701986755,0.33608170114014246
82,mlp_1,32,0.5917218543046358,0.33734471036789154
83,mlp_1,33,0.5935430463576159,0.3389231873322407
84,mlp_1,34,0.596523178807947,0.34122743322464005
85,mlp_1,35,0.5910596026490066,0.33742525798734035
86,mlp_1,36,0.5923841059602649,0.34014165822006887
87,mlp_1,37,0.5966887417218543,0.3415664922344536
88,mlp_1,38,0.5978476821192052,0.34102620418008794
89,mlp_1,39,0.5973509933774834,0.3425621777215405
90,mlp_1,40,0.5970198675496688,0.33941645310917934
91,mlp_1,41,0.598841059602649,0.34316331021183283
92,mlp_1,42,0.5961920529801324,0.3396103536812359
93,mlp_1,43,0.5998344370860927,0.3421932660732954
94,mlp_1,44,0.6019867549668875,0.3455206362289866
95,mlp_1,45,0.6049668874172185,0.34577589416478427
96,mlp_1,46,0.6039735099337749,0.34680617966340177
97,mlp_1,47,0.6018211920529801,0.3455324765373127
98,mlp_1,48,0.6049668874172185,0.3466824777505032
99,mlp_1,49,0.6049668874172185,0.34680012335372845
100,mlp_2,0,0.44486754966887415,0.24553744771399116
101,mlp_2,1,0.46589403973509935,0.25781207890796387
102,mlp_2,2,0.49933774834437084,0.2759985478333464
103,mlp_2,3,0.5322847682119205,0.2961554976261347
104,mlp_2,4,0.5607615894039735,0.3105299696701886
105,mlp_2,5,0.5647350993377483,0.31234958322551015
106,mlp_2,6,0.5788079470198676,0.3214314244130843
107,mlp_2,7,0.5839403973509933,0.3278725313118674
108,mlp_2,8,0.58841059602649,0.3296792047797835
109,mlp_2,9,0.5971854304635762,0.3372814399174423
110,mlp_2,10,0.5980132450331126,0.3374061130106976
111,mlp_2,11,0.6031456953642385,0.3403394226508485
112,mlp_2,12,0.5995033112582782,0.33882560083964863
113,mlp_2,13,0.6031456953642385,0.3415922458129787
114,mlp_2,14,0.6112582781456953,0.3445432063950791
115,mlp_2,15,0.6147350993377484,0.3465368560027724
116,mlp_2,16,0.6114238410596027,0.34594231973967754
117,mlp_2,17,0.6167218543046358,0.3486402597528221
118,mlp_2,18,0.6127483443708609,0.3461271928675981
119,mlp_2,19,0.6137417218543046,0.34882517467331775
120,mlp_2,20,0.614569536423841,0.35014582552737133
121,mlp_2,21,0.6185430463576159,0.35096803636593965
122,mlp_2,22,0.6110927152317881,0.34775979790006506
123,mlp_2,23,0.6147350993377484,0.35245257391094453
124,mlp_2,24,0.6147350993377484,0.3490008027001319
125,mlp_2,25,0.6152317880794702,0.3514631505800349
126,mlp_2,26,0.616887417218543,0.3518225663506927
127,mlp_2,27,0.6135761589403973,0.3521085467490679
128,mlp_2,28,0.6158940397350994,0.3555914881713895
129,mlp_2,29,0.6185430463576159,0.35810185704316466
130,mlp_2,30,0.6144039735099338,0.3513082334304012
131,mlp_2,31,0.614569536423841,0.3534094861656489
132,mlp_2,32,0.6198675496688741,0.35351233010166294
133,mlp_2,33,0.616225165562914,0.35346051812042584
134,mlp_2,34,0.6216887417218543,0.35294049322989884
135,mlp_2,35,0.6163907284768212,0.3545474292351385
136,mlp_2,36,0.6130794701986755,0.35251391128558657
137,mlp_2,37,0.6201986754966887,0.35538405559590264
138,mlp_2,38,0.6144039735099338,0.35208561021901896
139,mlp_2,39,0.6183774834437086,0.3536080847694147
140,mlp_2,40,0.6160596026490066,0.3543065659102445
141,mlp_2,41,0.6188741721854305,0.3544916439491081
142,mlp_2,42,0.6213576158940397,0.3562750688553501
143,mlp_2,43,0.6187086092715232,0.35463624170550545
144,mlp_2,44,0.623841059602649,0.35382087832824144
145,mlp_2,45,0.6246688741721854,0.3560250917739807
146,mlp_2,46,0.6200331125827815,0.3532061379709526
147,mlp_2,47,0.6201986754966887,0.3546982393012675
148,mlp_2,48,0.6205298013245033,0.35418422821665096
149,mlp_2,49,0.6201986754966887,0.3536240954721759
150,mlp_3,0,0.44867549668874174,0.247038586108845
151,mlp_3,1,0.48509933774834435,0.2697861725548925
152,mlp_3,2,0.5049668874172185,0.2803981431656703
153,mlp_3,3,0.5394039735099337,0.3003329626344049
154,mlp_3,4,0.5657284768211921,0.319748804604354
155,mlp_3,5,0.5802980132450332,0.3290398087667843
156,mlp_3,6,0.5912251655629139,0.33594556594753594
157,mlp_3,7,0.6064569536423841,0.3445337661414913
158,mlp_3,8,0.6071192052980132,0.3436033791281954
159,mlp_3,9,0.6062913907284768,0.3448368640037367
160,mlp_3,10,0.6102649006622517,0.3495889087677381
161,mlp_3,11,0.6153973509933774,0.3528293267330963
162,mlp_3,12,0.6153973509933774,0.3541030738111382
163,mlp_3,13,0.6175496688741722,0.355471498166096
164,mlp_3,14,0.6233443708609272,0.3587371681411868
165,mlp_3,15,0.6236754966887417,0.3563561543682814
166,mlp_3,16,0.6271523178807947,0.3613300471817739
167,mlp_3,17,0.6327814569536424,0.3624980618068905
168,mlp_3,18,0.6309602649006623,0.3624125084033643
169,mlp_3,19,0.633112582781457,0.36334718027625557
170,mlp_3,20,0.6370860927152318,0.3640870365439753
171,mlp_3,21,0.633112582781457,0.3637087546499181
172,mlp_3,22,0.634271523178808,0.36595676775565517
173,mlp_3,23,0.6355960264900662,0.36531395236880154
174,mlp_3,24,0.6382450331125827,0.36415762446114686
175,mlp_3,25,0.6394039735099337,0.3687471091950952
176,mlp_3,26,0.633112582781457,0.3653324444286721
177,mlp_3,27,0.6385761589403973,0.3661979983656495
178,mlp_3,28,0.6400662251655629,0.36747525218639215
179,mlp_3,29,0.6423841059602649,0.36877854328831255
180,mlp_3,30,0.6427152317880794,0.3689588544863111
181,mlp_3,31,0.643046357615894,0.36830819533482134
182,mlp_3,32,0.6410596026490066,0.36846918668788126
183,mlp_3,33,0.6432119205298014,0.3708257481622225
184,mlp_3,34,0.6437086092715232,0.3699203609217973
185,mlp_3,35,0.6420529801324504,0.3686210818277378
186,mlp_3,36,0.6397350993377483,0.36494619193452726
187,mlp_3,37,0.6447019867549669,0.36980428064195864
188,mlp_3,38,0.6468543046357615,0.3694943088189345
189,mlp_3,39,0.6448675496688742,0.36942856395660556
190,mlp_3,40,0.6486754966887417,0.3712356123634118
191,mlp_3,41,0.6422185430463576,0.3694823107185658
192,mlp_3,42,0.648841059602649,0.37040634343926254
193,mlp_3,43,0.6417218543046358,0.3684615365308667
194,mlp_3,44,0.6417218543046358,0.3680821127856023
195,mlp_3,45,0.6425496688741722,0.36810754406509716
196,mlp_3,46,0.6493377483443709,0.3705175824954252
197,mlp_3,47,0.6460264900662251,0.36978563952336957
198,mlp_3,48,0.6466887417218543,0.3708176174284541
199,mlp_3,49,0.6455298013245033,0.3704250452684446
200,mlp_4,0,0.44370860927152317,0.24764826338923387
201,mlp_4,1,0.4594370860927152,0.2531211137879804
202,mlp_4,2,0.5246688741721854,0.28733887426156135
203,mlp_4,3,0.571523178807947,0.3208773721466687
204,mlp_4,4,0.5875827814569536,0.3284247391400799
205,mlp_4,5,0.6013245033112583,0.3418266881695344
