Epoch,Loss,HR@10,NDCG@10
1,0.3703221159794974,0.5495033112582781,0.32068191269982455
2,0.3545932027363219,0.5498344370860927,0.32309002618373994
3,0.35051635196044106,0.5541390728476822,0.3244802112348015
4,0.3475059607159171,0.5620860927152318,0.3318855446336659
5,0.343937865161017,0.571523178807947,0.341364958250743
6,0.3377690476966475,0.590066225165563,0.3537187642033332
7,0.32831988108392235,0.6155629139072848,0.3705140958010825
8,0.318922025772683,0.6314569536423841,0.38335383365888487
9,0.3132156932998608,0.6478476821192053,0.3955291567084833
10,0.30899165752019364,0.6586092715231788,0.40222066847261734
11,0.3049529429498077,0.6708609271523179,0.4113426682941637
12,0.30097392875644063,0.6768211920529801,0.4186899568498977
13,0.2974873537501886,0.6879139072847682,0.4268931782993466
14,0.2947078875557915,0.6980132450331126,0.43610939938537924
15,0.2925360420978868,0.7048013245033112,0.43990620598241253
16,0.29086730309494213,0.7052980132450332,0.44452941018115893
17,0.289423922515698,0.7124172185430464,0.44616413776108754
18,0.2881184495245862,0.7155629139072848,0.4515644499438603
19,0.2870074441580802,0.7155629139072848,0.45369532272915847
20,0.2858929023976476,0.715066225165563,0.4527997524368553
21,0.28476568975370353,0.7205298013245033,0.4572449387356248
22,0.28371613081710007,0.7195364238410596,0.45734821874566717
23,0.2826301432807246,0.7180463576158941,0.4577846500837492
24,0.2815564977191038,0.7213576158940397,0.46022492153556227
25,0.28054844481283725,0.7231788079470198,0.46066735908445966
26,0.27952936393120353,0.7230132450331126,0.4634593366684266
27,0.2785209800026768,0.7240066225165563,0.4654397131084844
28,0.2775873618378317,0.7243377483443708,0.4648020838987901
29,0.2766844578566396,0.7254966887417219,0.46659931575252417
30,0.2758357645147489,0.7284768211920529,0.46678088048772454
31,0.2750266028470431,0.729635761589404,0.46841095686443457
32,0.27423250251057524,0.7254966887417219,0.4647531330174021
33,0.2735227737097706,0.7266556291390729,0.467341489141559
34,0.27278031215717113,0.7254966887417219,0.46698868165758944
35,0.2721501583593777,0.7269867549668875,0.46776600429249654
36,0.2715029171238287,0.729635761589404,0.468101247768124
37,0.2708292133975869,0.7251655629139073,0.4665432620355084
38,0.27026160700301316,0.7298013245033113,0.4691752793935678
39,0.2696708540354232,0.7283112582781457,0.46954974000116295
40,0.2691368423596742,0.7248344370860927,0.4682810366904842
