Epoch,Loss,HR@10,NDCG@10
1,0.235,0.674,0.396
2,0.253,0.671,0.395
3,0.265,0.671,0.395
4,0.289,0.671,0.395
5,0.254,0.672,0.396
6,0.221,0.672,0.395
7,0.244,0.671,0.395
8,0.193,0.671,0.395
9,0.218,0.672,0.395
10,0.2,0.671,0.394
11,0.158,0.671,0.395
12,0.31,0.671,0.395
13,0.255,0.672,0.395
14,0.321,0.671,0.395
15,0.351,0.671,0.395
16,0.294,0.671,0.395
17,0.34,0.671,0.395
18,0.173,0.67,0.394
19,0.193,0.67,0.394
20,0.193,0.67,0.394
