Epoch,Loss,HR@10,NDCG@10
1,0.3654068515582658,0.5470198675496689,0.3247904843623291
2,0.3498658448698253,0.5519867549668874,0.32740791399484787
3,0.34440074003621524,0.5832781456953643,0.3476272578710885
4,0.33167195344503636,0.6087748344370861,0.3680007956314813
5,0.3223496088416852,0.6206953642384105,0.3775214389659517
6,0.3151133135221708,0.6374172185430463,0.387519540131291
7,0.304878451445265,0.6635761589403973,0.4057535529466003
8,0.2919423495974309,0.6892384105960265,0.4270298372145131
9,0.28043095515096317,0.7102649006622517,0.4465809006824223
10,0.27185999516809634,0.722682119205298,0.458641032425997
11,0.26556669946780986,0.733112582781457,0.4694531492978368
12,0.26072246685908756,0.7423841059602649,0.47859033934808376
13,0.25676442480372713,0.7458609271523179,0.48239340211139053
14,0.2534118123198184,0.7564569536423841,0.49172188499851327
15,0.2506109005546326,0.7554635761589404,0.49386461520570074
16,0.2481484981996897,0.7624172185430463,0.4979442530735742
17,0.2460268417448968,0.768046357615894,0.5019679322132639
18,0.24406991103643494,0.7685430463576159,0.5056698810548631
19,0.24238260513292323,0.7708609271523179,0.5064535234520008
20,0.24085016919538993,0.7634105960264901,0.5055669300343023
21,0.239449321596668,0.7667218543046358,0.5077634882082701
22,0.2381668329174749,0.7673841059602649,0.5087609179204805
23,0.23697081624274938,0.7693708609271523,0.5091812204983481
24,0.23585922457788913,0.766887417218543,0.5069766832608597
25,0.23480558220195874,0.7647350993377483,0.5067477007101068
26,0.2338149556572924,0.7640728476821192,0.5069974727950232
27,0.23295140900629838,0.7675496688741722,0.5085263328887244
28,0.23204706254419474,0.7627483443708609,0.5062754689162123
29,0.23121332939045705,0.766887417218543,0.5078269119417074
30,0.2304448134385356,0.7662251655629139,0.5068635868673232
31,0.2296945481975296,0.7625827814569537,0.5036502633624882
32,0.22893822742929246,0.7677152317880794,0.5064391304403011
33,0.2282897846838913,0.7663907284768212,0.5060111141987419
34,0.22762240698525493,0.7639072847682119,0.5021489612876655
35,0.22700513743900438,0.7647350993377483,0.5017613228811295
36,0.22641183856613123,0.765728476821192,0.5025981144761328
37,0.2258077753361496,0.765728476821192,0.5070714172104005
38,0.2252604209453886,0.7658940397350993,0.5009756550374347
39,0.22471934035119748,0.7655629139072848,0.5021274770133324
40,0.2242327856386513,0.7635761589403973,0.5021066123272608
