Epoch,Loss,HR@10,NDCG@10
1,0.5075400660651841,0.10397350993377484,0.04851119297712773
2,0.4784263697993797,0.41788079470198675,0.23181361198190759
3,0.3715197549316554,0.5322847682119205,0.3161126199709602
4,0.35055575922576526,0.5528145695364238,0.3291124550274097
5,0.3436612803608235,0.5754966887417219,0.34274558035035474
6,0.33315676191432325,0.5995033112582782,0.35888591107411627
7,0.3185222201684742,0.6332781456953642,0.3831982437603931
8,0.3063253986713608,0.6584437086092715,0.4047305095944665
9,0.29626031424895327,0.6802980132450331,0.42345457339689824
10,0.2882845492694273,0.6998344370860927,0.4407863870055433
11,0.28246315900022895,0.7117549668874172,0.45166408271255676
12,0.27820473307879473,0.7200331125827815,0.46049683762485405
13,0.2750099973385777,0.7274834437086093,0.4689787430780274
14,0.27255717304033844,0.7327814569536424,0.47356077719061074
15,0.27065834324222626,0.7357615894039735,0.47686544076052917
16,0.26919047097573523,0.7365894039735099,0.47980545536057856
17,0.26803999348436597,0.7392384105960265,0.4816210823050494
18,0.26715496325720567,0.7400662251655629,0.4847498769414838
19,0.26643955119842155,0.7413907284768212,0.4855210237361486
20,0.2658724588558242,0.7432119205298013,0.4871877445392558
21,0.2653827927776136,0.7442052980132451,0.4875578503010746
22,0.2649795858705111,0.7456953642384105,0.48849789461667453
23,0.2646393710402093,0.7458609271523179,0.4882944403951873
24,0.2643402270525734,0.7463576158940397,0.4897360427929767
25,0.26407442919936014,0.7461920529801325,0.48885995031083224
26,0.26384744140804856,0.7468543046357616,0.4897833655634966
27,0.2636321865417061,0.7458609271523179,0.4889878846815701
28,0.26345160684663826,0.746523178807947,0.4901079106880992
29,0.2632590852006328,0.7475165562913907,0.4894517211355298
30,0.26311277940704964,0.7460264900662251,0.48995377696512116
31,0.2629521609082285,0.7463576158940397,0.49021880069720897
32,0.26281210579938197,0.7481788079470199,0.49098610863276904
33,0.2626891573214037,0.7473509933774835,0.49014369096339294
34,0.26255308911144204,0.7485099337748344,0.49006948193383587
35,0.26244275900411257,0.7473509933774835,0.48987377742031496
36,0.26233325589479284,0.7461920529801325,0.4884498551772965
37,0.2622293548531708,0.75,0.4909503654129585
38,0.26212973441604903,0.7475165562913907,0.4905392603690455
39,0.2620334473097552,0.747682119205298,0.4905685362044518
40,0.26196061982594093,0.7468543046357616,0.49110746767150454
