Model,# Factor,Iteration,Train Loss,HR@10,NDCG@10
NCF,8,5,1661.296892,0.696192053,0.419033741
NCF,8,6,1660.498988,0.695033113,0.418170147
NCF,8,7,1659.761694,0.696192053,0.418699362
NCF,8,8,1659.071594,0.688741722,0.415989843
NCF,8,9,1658.445506,0.686258278,0.414288336
NCF,8,10,1657.891378,0.685927152,0.413854679
NCF,8,11,1657.374246,0.684768212,0.413314246
NCF,8,12,1656.867826,0.679801325,0.41139831
NCF,8,13,1656.369573,0.67781457,0.409546018
NCF,8,14,1655.867459,0.678145695,0.409846574
NCF,8,15,1655.358341,0.676324503,0.408530998
NCF,8,16,1654.859548,0.675165563,0.407345049
NCF,8,17,1654.348439,0.674172185,0.406857933
NCF,8,18,1653.859163,0.675165563,0.407113403
NCF,8,19,1653.391733,0.674503311,0.40585089
NCF,8,20,1652.94601,0.673509934,0.405615228
NCF,8,21,1652.488876,0.673675497,0.4052087
NCF,8,22,1652.059441,0.674337748,0.404314805
NCF,8,23,1651.646935,0.673675497,0.403870073
NCF,8,24,1651.254742,0.672847682,0.402715204
NCF,8,25,1650.874476,0.674006623,0.402452258
NCF,8,26,1650.517049,0.673013245,0.401154663
NCF,8,27,1650.187895,0.673344371,0.400516155
NCF,8,28,1649.875095,0.673178808,0.400158352
NCF,8,29,1649.581127,0.672682119,0.398974698
NCF,8,30,1649.321798,0.671854305,0.398362034
NCF,8,31,1649.05755,0.672682119,0.397077341
NCF,8,32,1648.804444,0.673013245,0.396548832
NCF,8,33,1648.594976,0.673013245,0.395385569
NCF,8,34,1648.391399,0.672350993,0.394931283
NCF,8,35,1648.192434,0.673178808,0.394312908
NCF,8,36,1647.989055,0.674668874,0.39443334
NCF,8,37,1647.8022,0.674668874,0.393439966
NCF,8,38,1647.620462,0.675331126,0.393095651
NCF,8,39,1647.452002,0.673013245,0.391865928
NCF,8,40,1647.290149,0.674172185,0.391524234
NCF,8,41,1647.139473,0.674172185,0.390825959
NCF,8,42,1646.99358,0.674503311,0.389994895
NCF,8,43,1646.835031,0.674337748,0.389813397
NCF,8,44,1646.712389,0.674668874,0.389126111
NCF,8,45,1646.601836,0.675496689,0.389075829
NCF,8,46,1646.473788,0.675,0.387858867
NCF,8,47,1646.378244,0.675165563,0.387722192
NCF,8,48,1646.276454,0.674668874,0.387364572
NCF,8,49,1646.166572,0.675496689,0.38694992
NCF,8,50,1646.068639,0.67384106,0.386085521
