,ml-1m_MLP
0,0.473841059602649
1,0.5352649006622516
2,0.5582781456953643
3,0.573841059602649
4,0.5947019867549669
5,0.6009933774834437
6,0.6052980132450331
7,0.6082781456953642
8,0.6132450331125828
9,0.6152317880794702
10,0.6158940397350994
11,0.6183774834437086
12,0.6147350993377484
13,0.6221854304635761
14,0.6190397350993377
15,0.6225165562913907
16,0.6187086092715232
17,0.621523178807947
18,0.6193708609271523
19,0.6192052980132451
20,0.6216887417218543
21,0.621523178807947
22,0.6167218543046358
23,0.6197019867549669
24,0.6216887417218543
25,0.6218543046357616
26,0.6231788079470199
27,0.6236754966887417
28,0.6233443708609272
29,0.6200331125827815
