,ml-1m_MLP
0,0.2954302607572074
1,0.33066687142101703
2,0.351115598642329
3,0.3665834811304469
4,0.3739787792772858
5,0.3783189195466339
6,0.3793635417318006
7,0.37943959225375945
8,0.3836746294445779
9,0.3840681007286914
10,0.37814671477068884
11,0.38275244632798094
12,0.38060421142980455
13,0.3789082216757091
14,0.3743550767552384
15,0.3762329181679882
16,0.37173558832206943
17,0.37254494974050273
18,0.37026091868615163
19,0.37060787025935127
20,0.36929658506719293
21,0.36958334272766186
22,0.3701424720807921
23,0.3687643661863195
24,0.3648003505949753
25,0.3634773957682592
26,0.3662075790017964
27,0.35944785282292097
28,0.3644829529159081
29,0.35978564727799933
