Epoch,HR,NDCG
0,0.4828,0.2631
1,0.5515,0.303
2,0.5935,0.3293
3,0.6182,0.3509
4,0.6368,0.3664
5,0.6477,0.3727
6,0.6624,0.3843
7,0.671,0.3945
8,0.6692,0.3932
9,0.6788,0.3983
10,0.6803,0.4022
11,0.678,0.4043
12,0.6858,0.4057
13,0.6836,0.4069
14,0.6876,0.4079
15,0.6899,0.4114
16,0.6955,0.4148
17,0.6856,0.4127
18,0.6846,0.4123
19,0.6889,0.413
20,0.6838,0.412
21,0.6826,0.4107
22,0.6901,0.4181
23,0.6879,0.4138
24,0.6868,0.4172
25,0.6821,0.4126
26,0.6871,0.4166
27,0.6834,0.414
28,0.6861,0.4118
29,0.68,0.4113
30,0.6839,0.4138
31,0.6836,0.4157
32,0.6801,0.4103
33,0.6806,0.4096
34,0.679,0.4085
35,0.6776,0.4119
36,0.6866,0.4167
37,0.6813,0.4092
38,0.6755,0.4088
39,0.6776,0.4111
40,0.6844,0.4166
41,0.6848,0.414
42,0.6825,0.4124
43,0.6874,0.4164
44,0.6778,0.4111
45,0.6762,0.4126
46,0.6738,0.4066
47,0.6785,0.4088
48,0.6806,0.4116
49,0.6811,0.4113
50,0.6826,0.4119
51,0.6753,0.4078
52,0.6742,0.409
53,0.6737,0.408
54,0.681,0.4112
55,0.6742,0.4085
56,0.677,0.4095
57,0.6702,0.4083
58,0.6763,0.4099
59,0.6753,0.4084
60,0.6748,0.4101
61,0.6801,0.4113
62,0.6725,0.4093
63,0.6728,0.4105
64,0.6755,0.411
65,0.6702,0.4037
66,0.6743,0.4096
67,0.67,0.4069
68,0.6705,0.4061
69,0.6755,0.4124
70,0.6656,0.4049
71,0.6719,0.4069
72,0.6672,0.4051
73,0.672,0.4065
74,0.6783,0.4092
75,0.6778,0.4105
76,0.673,0.4047
77,0.673,0.4051
78,0.6611,0.4048
79,0.6631,0.4059
80,0.6616,0.4018
81,0.67,0.4072
82,0.668,0.4053
83,0.6661,0.4048
84,0.6692,0.4102
85,0.6714,0.4062
86,0.6637,0.4051
87,0.6694,0.4065
88,0.6685,0.4078
89,0.6684,0.4086
90,0.6692,0.4084
91,0.6662,0.4012
92,0.6689,0.4037
93,0.6717,0.4059
94,0.6709,0.4092
95,0.6702,0.4083
96,0.6707,0.4084
97,0.6674,0.407
98,0.668,0.4086
99,0.6659,0.4066
