,ml-1m_MLP
0,0.2565146993977669
1,0.2779533719659993
2,0.2888754071270268
3,0.3033138061738982
4,0.30510737734465965
5,0.31093011246446206
6,0.31528672601464913
7,0.31929656214379354
8,0.3195059113504991
9,0.32708656349285586
10,0.3282690467996428
11,0.32336008935192256
12,0.3245578771058135
13,0.32809861759053355
14,0.3300266423396639
15,0.3314696173797738
16,0.32747655789385116
17,0.33158332572287885
18,0.32969804058273644
19,0.33042606467357405
20,0.3352441062807518
21,0.3313290943955079
22,0.3332507182223543
23,0.3324921381942278
24,0.33081756645004456
25,0.3314937598036853
26,0.33046833117374175
27,0.3345962404220715
28,0.331218337922488
29,0.3317641638872541
