Epoch,HR,NDCG
0,0.45,0.2468
1,0.505,0.2803
2,0.5546,0.3039
3,0.5881,0.3277
4,0.6071,0.3401
5,0.6157,0.3546
6,0.6169,0.3561
7,0.6325,0.3655
8,0.6343,0.3715
9,0.6445,0.3769
10,0.6487,0.3787
11,0.6512,0.3799
12,0.6611,0.3851
13,0.6573,0.3869
14,0.6619,0.3889
15,0.6636,0.39
16,0.6652,0.392
17,0.6647,0.3942
18,0.6657,0.3945
19,0.6685,0.398
20,0.6705,0.3987
21,0.6712,0.399
22,0.6775,0.4004
23,0.673,0.4011
24,0.6705,0.4041
25,0.672,0.4007
26,0.6743,0.4003
27,0.6684,0.3999
28,0.6745,0.4028
29,0.6735,0.4042
30,0.674,0.4065
31,0.6715,0.4024
32,0.6675,0.3996
33,0.674,0.403
34,0.6728,0.4048
35,0.6786,0.4066
36,0.6833,0.4069
37,0.6757,0.4066
38,0.6825,0.408
39,0.6781,0.4051
40,0.6776,0.407
41,0.6762,0.4053
42,0.6798,0.4066
43,0.681,0.4087
44,0.6767,0.4044
45,0.6788,0.4075
46,0.681,0.4074
47,0.6753,0.4038
48,0.6702,0.4025
49,0.6786,0.4048
50,0.6785,0.4083
51,0.678,0.4064
52,0.6773,0.4075
53,0.678,0.4039
54,0.679,0.4064
55,0.6798,0.4067
56,0.6775,0.4058
57,0.6791,0.407
58,0.6829,0.4071
59,0.6788,0.4048
60,0.6767,0.405
61,0.6772,0.4049
62,0.679,0.4029
63,0.6776,0.405
64,0.6742,0.4051
65,0.679,0.4055
66,0.675,0.4039
67,0.677,0.4064
68,0.6806,0.4066
69,0.6742,0.4051
70,0.679,0.4052
71,0.6768,0.4056
72,0.677,0.4044
73,0.6737,0.4029
74,0.6816,0.4057
75,0.6752,0.4036
76,0.6724,0.4043
77,0.6788,0.4058
78,0.6753,0.4032
79,0.6732,0.4025
80,0.6747,0.4037
81,0.6748,0.4059
82,0.678,0.4062
83,0.6801,0.408
84,0.6765,0.4038
85,0.6755,0.4053
86,0.6778,0.4063
87,0.6772,0.4038
88,0.6742,0.4042
89,0.6778,0.4081
90,0.6765,0.4057
91,0.6767,0.4025
92,0.677,0.4056
93,0.6768,0.4039
94,0.6752,0.4021
95,0.6725,0.4012
96,0.675,0.4039
97,0.6715,0.3996
98,0.6772,0.4033
99,0.6762,0.4057
