,ml-1m_MLP
0,0.26071216543221554
1,0.29812861894389675
2,0.3112759236566296
3,0.3244959924318287
4,0.33761548358654736
5,0.33912940889261356
6,0.34260587235048606
7,0.3471092702702963
8,0.3486663147687702
9,0.35182851776065516
10,0.35351781899309254
11,0.3527439675240127
12,0.35295292174162296
13,0.3574970094303131
14,0.35472393267724406
15,0.35727698064484414
16,0.3591041108527173
17,0.35737318287712594
18,0.35734643335923166
19,0.35640187713013
20,0.35632304673902804
21,0.3568261265086929
22,0.3560820682797227
23,0.3556529676662411
24,0.35872593818187226
25,0.3543182644221085
26,0.3587932369070766
27,0.36049210951572114
28,0.36170581980034794
29,0.3572362238067314
