Model,Iteration,Train Loss,HR@10,NDCG@10,# K
GMF,2,1673.708978,0.594205298,0.43337002,8
GMF,3,1664.883928,0.596688742,0.434428906,8
GMF,4,1663.323691,0.598178808,0.435426541,8
GMF,5,1662.856584,0.601490066,0.436704837,8
MLP,1,1774.748455,0.533443709,0.400659635,8
MLP,2,1666.840874,0.57781457,0.424324157,8
MLP,3,1663.635604,0.588907285,0.429749273,8
MLP,4,1662.466022,0.59205298,0.431055579,8
MLP,5,1661.5899,0.591390728,0.431413935,8
NCF,1,1781.829578,0.538576159,0.405303218,8
NCF,2,1667.089756,0.568211921,0.420693451,8
NCF,3,1663.79632,0.577317881,0.42499769,8
NCF,4,1662.626553,0.584933775,0.42690745,8
NCF,5,1661.581755,0.587748344,0.42975124,8
GMF,1,1844.341179,0.616721854,0.439179866,9
GMF,2,1673.563249,0.62102649,0.440707679,9
GMF,3,1664.815761,0.625,0.44263652,9
GMF,4,1663.262152,0.626986755,0.443333971,9
GMF,5,1662.814522,0.627980132,0.443849486,9
MLP,1,1770.484665,0.565066225,0.41394422,9
MLP,2,1666.903593,0.6,0.430262525,9
MLP,3,1663.978566,0.608774834,0.435114155,9
MLP,4,1662.82235,0.614403974,0.437181089,9
MLP,5,1661.690571,0.622847682,0.440733956,9
NCF,1,1786.905283,0.574337748,0.420354847,9
NCF,2,1666.542436,0.610099338,0.436662971,9
NCF,3,1663.410979,0.617384106,0.43895624,9
NCF,4,1662.179656,0.623178808,0.441470122,9
NCF,5,1661.27134,0.625165563,0.442653453,9
GMF,1,1846.117085,0.64486755,0.447440409,10
GMF,2,1673.517564,0.649172185,0.449121279,10
GMF,3,1664.755799,0.653145695,0.451209825,10
GMF,4,1663.206398,0.656456954,0.452251462,10
GMF,5,1662.741838,0.658443709,0.45354796,10
MLP,1,1771.551937,0.577649007,0.417308974,10
MLP,2,1666.991455,0.611589404,0.433438903,10
MLP,3,1663.793703,0.625993377,0.439405284,10
MLP,4,1662.366884,0.634271523,0.442819792,10
MLP,5,1661.388794,0.645364238,0.447606981,10
NCF,1,1772.317022,0.595860927,0.427287461,10
NCF,2,1666.409254,0.626490066,0.44277206,10
NCF,3,1663.248715,0.642218543,0.44837784,10
NCF,4,1662.101953,0.644536424,0.449371197,10
NCF,5,1661.125834,0.64602649,0.448302301,10
