,ml-1m_MLP
0,0.2837883206776276
1,0.3267861165937777
2,0.34623078769622595
3,0.3596855151219954
4,0.36925635561700315
5,0.37081602135527575
6,0.3787294334480316
7,0.37873380142440394
8,0.3762858344770128
9,0.379561987732041
10,0.38176001613257465
11,0.38374378472178267
12,0.38216847148973915
13,0.3807384193322367
14,0.3813772658284244
15,0.38217628594457587
16,0.3769444958249432
17,0.37873409548187853
18,0.3792856562625756
19,0.3797502196694883
20,0.37857999585888585
21,0.3794969717134245
22,0.37758195423385693
23,0.3764291263408033
24,0.3737509314913176
25,0.3722761203976553
26,0.3744453659371373
27,0.37895100547816934
28,0.3737374604244183
29,0.3733989774919748
