Epoch,HR,NDCG
0,0.4444,0.2512
1,0.4988,0.2759
2,0.5338,0.2939
3,0.552,0.3078
4,0.5707,0.3215
5,0.5811,0.3289
6,0.5851,0.3331
7,0.5909,0.3369
8,0.6015,0.3428
9,0.6073,0.347
10,0.6104,0.3474
11,0.6142,0.352
12,0.6175,0.3516
13,0.6233,0.357
14,0.6227,0.3584
15,0.6257,0.3601
16,0.6328,0.3669
17,0.6296,0.3648
18,0.6339,0.3667
19,0.6339,0.3686
20,0.6391,0.3678
21,0.6291,0.3643
22,0.6389,0.367
23,0.6326,0.3674
24,0.6419,0.3731
25,0.6387,0.3689
26,0.6382,0.3707
27,0.6421,0.3729
28,0.6437,0.3727
29,0.644,0.3747
30,0.6425,0.3744
31,0.6434,0.3735
32,0.6425,0.3755
33,0.6419,0.3741
34,0.6457,0.379
35,0.646,0.3786
36,0.6459,0.3809
37,0.6396,0.3753
38,0.6412,0.3761
39,0.6467,0.3775
40,0.651,0.3796
41,0.6505,0.3793
42,0.6485,0.3794
43,0.6505,0.3826
44,0.6454,0.3793
45,0.6464,0.381
46,0.6483,0.3822
47,0.6533,0.3829
48,0.646,0.3782
49,0.6472,0.3811
50,0.6515,0.3835
51,0.6457,0.3821
52,0.6483,0.3796
53,0.6474,0.3815
54,0.6464,0.3779
55,0.6472,0.3811
56,0.6518,0.3838
57,0.6465,0.3811
58,0.6497,0.3812
59,0.6523,0.3836
60,0.6507,0.3836
61,0.647,0.3805
62,0.6498,0.3837
63,0.6503,0.3848
64,0.65,0.3831
65,0.6543,0.385
66,0.6543,0.3856
67,0.6522,0.3824
68,0.6477,0.3815
69,0.6517,0.3839
70,0.6462,0.3821
71,0.6498,0.3834
72,0.6492,0.3838
73,0.6465,0.381
74,0.6493,0.3828
75,0.6488,0.3817
76,0.6492,0.3834
77,0.6482,0.3806
78,0.652,0.3849
79,0.6522,0.3836
80,0.65,0.3828
81,0.6517,0.3869
82,0.6507,0.3834
83,0.6512,0.3846
84,0.6472,0.3825
85,0.651,0.3859
86,0.6478,0.3836
87,0.654,0.3844
88,0.6502,0.3833
89,0.6533,0.3863
90,0.6513,0.3847
91,0.6434,0.3819
92,0.6502,0.3844
93,0.6523,0.3847
94,0.6515,0.3863
95,0.6454,0.3812
96,0.6469,0.3815
97,0.6472,0.381
98,0.6452,0.3818
99,0.6515,0.3848
