Epoch,HR,NDCG
0,0.4477,0.2503
1,0.4477,0.2479
2,0.481,0.2652
3,0.5094,0.2842
4,0.528,0.2918
5,0.5396,0.3002
6,0.5462,0.3048
7,0.5586,0.3104
8,0.5523,0.3094
9,0.5627,0.3144
10,0.5651,0.3179
11,0.5671,0.32
12,0.5699,0.3227
13,0.5727,0.3235
14,0.5737,0.3231
15,0.5778,0.3257
16,0.5775,0.3264
17,0.5821,0.3282
18,0.5828,0.3307
19,0.5808,0.3292
20,0.5863,0.3314
21,0.5877,0.331
22,0.5901,0.3333
23,0.5899,0.3352
24,0.5922,0.3356
25,0.5892,0.334
26,0.5944,0.3379
27,0.5942,0.3366
28,0.5939,0.3356
29,0.5925,0.337
30,0.5934,0.3361
31,0.5998,0.3393
32,0.5962,0.3397
33,0.5965,0.3387
34,0.5982,0.3385
35,0.5993,0.3403
36,0.6035,0.3422
37,0.5949,0.3385
38,0.6033,0.3422
39,0.6043,0.3453
40,0.601,0.3405
41,0.5995,0.3414
42,0.6058,0.3463
43,0.6063,0.3466
44,0.6066,0.3452
45,0.6111,0.3477
46,0.6075,0.3451
47,0.6109,0.3465
48,0.6093,0.3463
49,0.6045,0.3431
50,0.6104,0.3486
51,0.6086,0.3464
52,0.6106,0.3468
53,0.6104,0.3469
54,0.6081,0.3463
55,0.6033,0.3443
56,0.6116,0.3478
57,0.6104,0.3466
58,0.6083,0.3476
59,0.6146,0.3517
60,0.6124,0.3494
61,0.6189,0.3548
62,0.6154,0.3522
63,0.6084,0.3471
64,0.6109,0.3491
65,0.6141,0.3503
66,0.6098,0.3489
67,0.6123,0.348
68,0.6169,0.3525
69,0.6169,0.3524
70,0.6131,0.3516
71,0.6169,0.3509
72,0.6157,0.3525
73,0.6152,0.3531
74,0.6167,0.3534
75,0.6167,0.3535
76,0.6151,0.3503
77,0.6149,0.3537
78,0.6134,0.3524
79,0.6123,0.3514
80,0.6184,0.3534
81,0.6162,0.353
82,0.6156,0.3535
83,0.6164,0.3526
84,0.6154,0.3531
85,0.6161,0.353
86,0.6141,0.351
87,0.6126,0.3531
88,0.6169,0.3548
89,0.6219,0.3583
90,0.6126,0.352
91,0.6123,0.351
92,0.6171,0.3541
93,0.6156,0.3535
94,0.6166,0.3534
95,0.6136,0.3522
96,0.6157,0.3532
97,0.6157,0.3531
98,0.6199,0.3544
99,0.618,0.3574
