Wall time,Step,Value
1716801231.099783,0,0.4501655629139073
1716801358.438597,1,0.4736754966887417
1716801484.990944,2,0.5139072847682119
1716801612.19285,3,0.5596026490066225
1716801741.11011,4,0.5788079470198676
1716801869.914584,5,0.589569536423841
1716802001.551585,6,0.5990066225165563
1716802130.634038,7,0.6086092715231788
1716802261.599649,8,0.618046357615894
1716802394.555477,9,0.6206953642384105
1716802529.623822,10,0.6245033112582782
1716802662.617662,11,0.627317880794702
1716802799.655263,12,0.6326158940397351
1716802934.136384,13,0.6362582781456954
1716803068.972557,14,0.6365894039735099
1716803203.701895,15,0.6410596026490066
1716803337.947527,16,0.640728476821192
1716803472.626161,17,0.6403973509933775
1716803606.185436,18,0.6433774834437086
1716803741.607967,19,0.6428807947019868
1716803874.959494,20,0.6435430463576159
1716804010.541588,21,0.6445364238410596
1716804145.80895,22,0.6437086092715232
1716804282.773255,23,0.6445364238410596
1716804417.610765,24,0.6423841059602649
1716804551.212059,25,0.6516556291390728
1716804685.203462,26,0.643046357615894
1716804819.27496,27,0.6473509933774835
1716804954.085988,28,0.6478476821192053
1716805087.42423,29,0.6458609271523179
1716805222.994527,30,0.648841059602649
1716805355.644198,31,0.644205298013245
1716805486.51593,32,0.6506622516556292
1716805618.090101,33,0.6513245033112582
1716805750.855106,34,0.6448675496688742
1716805884.880332,35,0.65
1716806018.61636,36,0.6478476821192053
1716806151.031102,37,0.6443708609271523
1716806284.505607,38,0.6433774834437086
1716806421.617875,39,0.6437086092715232
1716806554.893901,40,0.6425496688741722
1716806686.670631,41,0.644205298013245
1716806818.366059,42,0.6433774834437086
1716806949.494282,43,0.6470198675496689
1716807077.236798,44,0.6476821192052981
1716807205.726014,45,0.6519867549668874
1716807332.233013,46,0.6508278145695364
1716807461.285401,47,0.6486754966887417
1716807589.537742,48,0.6465231788079471
1716807718.753116,49,0.6531456953642384
