Wall time,Step,Value
1716794742.598505,0,0.44817880794701986
1716794859.417725,1,0.48940397350993375
1716794981.803388,2,0.5385761589403973
1716795100.946148,3,0.5602649006622517
1716795220.714537,4,0.5786423841059603
1716795339.315627,5,0.6008278145695364
1716795459.762317,6,0.6153973509933774
1716795578.658193,7,0.622682119205298
1716795699.875347,8,0.6307947019867549
1716795820.272441,9,0.634271523178808
1716795937.950337,10,0.6375827814569537
1716796055.293398,11,0.6385761589403973
1716796175.845123,12,0.6395695364238411
1716796296.313296,13,0.6403973509933775
1716796414.88962,14,0.6397350993377483
1716796533.457683,15,0.635430463576159
1716796650.564993,16,0.6402317880794702
1716796771.343691,17,0.6425496688741722
1716796891.53636,18,0.6394039735099337
1716797007.18214,19,0.641887417218543
1716797122.109606,20,0.6387417218543047
1716797234.897578,21,0.6387417218543047
1716797348.215604,22,0.6377483443708609
1716797463.474741,23,0.6385761589403973
1716797577.501138,24,0.6390728476821192
1716797690.625214,25,0.6349337748344371
1716797803.948148,26,0.6370860927152318
1716797917.227047,27,0.6374172185430463
1716798033.068547,28,0.6403973509933775
1716798150.28771,29,0.6379139072847683
1716798266.713437,30,0.6413907284768212
1716798384.851367,31,0.6384105960264901
1716798502.835376,32,0.6389072847682119
1716798618.270488,33,0.6413907284768212
1716798736.661822,34,0.6395695364238411
1716798852.318472,35,0.6392384105960265
1716798969.84623,36,0.6403973509933775
1716799086.598688,37,0.6387417218543047
1716799202.818961,38,0.6370860927152318
1716799322.243971,39,0.6405629139072848
1716799441.324326,40,0.6415562913907285
1716799558.297566,41,0.6422185430463576
1716799678.386762,42,0.6367549668874172
1716799797.275815,43,0.6403973509933775
1716799919.309648,44,0.6384105960264901
1716800037.753676,45,0.6405629139072848
1716800154.772526,46,0.6413907284768212
1716800269.195939,47,0.6394039735099337
1716800384.783699,48,0.6403973509933775
1716800499.879031,49,0.6402317880794702
