Hit Ratio,NDCG
0.44735099337748346,0.24458609540891865
0.477317880794702,0.2622454978255615
0.49850993377483444,0.2759757678340894
0.5347682119205298,0.3002478110951047
0.562251655629139,0.31166305345484036
0.5794701986754967,0.32886749716855546
0.590066225165563,0.3320514019305061
0.5928807947019867,0.3357920083987595
0.6006622516556291,0.34103325294802445
0.6066225165562914,0.3455459872969622
0.6107615894039735,0.35010060218720845
0.6091059602649007,0.3499353675288557
0.6097682119205298,0.34923209226196533
0.6122516556291391,0.3512470634377306
0.6152317880794702,0.3527461360257222
0.6155629139072848,0.35508602817265594
0.6193708609271523,0.35396158312739484
0.622682119205298,0.3576495283886038
0.6263245033112583,0.3613926720822007
0.621523178807947,0.35971365489483786
0.6254966887417218,0.359745481576633
0.6233443708609272,0.36030169929683237
0.6264900662251656,0.3622280538398337
0.6276490066225165,0.36242940279693686
0.6294701986754967,0.36247328103206133
0.6314569536423841,0.361628607379849
0.6274834437086093,0.36124619338073877
0.6291390728476821,0.36233938258737636
0.628476821192053,0.36289573731617036
0.6296357615894039,0.36371259652365034
