Model,Epoch,HR@10,NDCG@10
"MLP-[16, 32, 16, 8]",12,0.6149006622516556,0.349625169325433
"MLP-[16, 32, 16, 8]",13,0.6170529801324504,0.35154876985071287
"MLP-[16, 32, 16, 8]",14,0.6225165562913907,0.3557600254737095
"MLP-[16, 32, 16, 8]",15,0.6201986754966887,0.3549604884291894
"MLP-[16, 32, 16, 8]",16,0.6263245033112583,0.359048366716371
"MLP-[16, 32, 16, 8]",17,0.6185430463576159,0.3512609417876062
"MLP-[16, 32, 16, 8]",18,0.6206953642384105,0.3557945944305078
"MLP-[16, 32, 16, 8]",19,0.6274834437086093,0.36150435680794557
"MLP-[16, 32, 16, 8]",20,0.6271523178807947,0.3598384969213084
"MLP-[16, 32, 16, 8]",21,0.6299668874172185,0.36069894901726296
"MLP-[16, 32, 16, 8]",22,0.626158940397351,0.36216264180664653
"MLP-[16, 32, 16, 8]",23,0.6314569536423841,0.3623778531350855
"MLP-[16, 32, 16, 8]",24,0.6294701986754967,0.36250358891960877
"MLP-[16, 32, 16, 8]",25,0.6289735099337749,0.36380132211956934
"MLP-[16, 32, 16, 8]",26,0.6307947019867549,0.3650159708078897
"MLP-[16, 32, 16, 8]",27,0.6326158940397351,0.36647000707907984
"MLP-[16, 32, 16, 8]",28,0.6322847682119205,0.36618474149027713
"MLP-[16, 32, 16, 8]",29,0.633774834437086,0.3695655128613776
"MLP-[16, 32, 16, 8]",30,0.6327814569536424,0.36735608487697347
"MLP-[16, 64, 32, 16, 8]",1,0.45165562913907287,0.24679619675743972
"MLP-[16, 64, 32, 16, 8]",2,0.4857615894039735,0.26486558783791814
"MLP-[16, 64, 32, 16, 8]",3,0.5129139072847683,0.28059902268900144
"MLP-[16, 64, 32, 16, 8]",4,0.5496688741721855,0.3032554798549044
"MLP-[16, 64, 32, 16, 8]",5,0.5673841059602649,0.3174796809458061
"MLP-[16, 64, 32, 16, 8]",6,0.5846026490066225,0.3262914182791536
"MLP-[16, 64, 32, 16, 8]",7,0.5937086092715231,0.3375428734978308
"MLP-[16, 64, 32, 16, 8]",8,0.605794701986755,0.3420121207987121
"MLP-[16, 64, 32, 16, 8]",9,0.6109271523178808,0.3470233308411108
"MLP-[16, 64, 32, 16, 8]",10,0.6158940397350994,0.35287236309723297
"MLP-[16, 64, 32, 16, 8]",11,0.6256622516556292,0.35780410887232056
"MLP-[16, 64, 32, 16, 8]",12,0.6309602649006623,0.3608226257684571
"MLP-[16, 64, 32, 16, 8]",13,0.6299668874172185,0.3621059129076551
"MLP-[16, 64, 32, 16, 8]",14,0.6307947019867549,0.36399908266943615
"MLP-[16, 64, 32, 16, 8]",15,0.6334437086092716,0.36373485496774477
"MLP-[16, 64, 32, 16, 8]",16,0.635430463576159,0.3674666838628532
"MLP-[16, 64, 32, 16, 8]",17,0.6364238410596027,0.36748974960809594
"MLP-[16, 64, 32, 16, 8]",18,0.6360927152317881,0.3685250466503227
"MLP-[16, 64, 32, 16, 8]",19,0.634271523178808,0.36834925874368285
"MLP-[16, 64, 32, 16, 8]",20,0.6385761589403973,0.3685173027152201
"MLP-[16, 64, 32, 16, 8]",21,0.641887417218543,0.3706624264608616
"MLP-[16, 64, 32, 16, 8]",22,0.6413907284768212,0.3723615605463271
"MLP-[16, 64, 32, 16, 8]",23,0.6435430463576159,0.37197026866875116
"MLP-[16, 64, 32, 16, 8]",24,0.6423841059602649,0.37075276072793695
"MLP-[16, 64, 32, 16, 8]",25,0.6463576158940397,0.37527246850033485
"MLP-[16, 64, 32, 16, 8]",26,0.6427152317880794,0.37237584265308066
"MLP-[16, 64, 32, 16, 8]",27,0.6422185430463576,0.3716488299524236
"MLP-[16, 64, 32, 16, 8]",28,0.6427152317880794,0.3719054102403337
"MLP-[16, 64, 32, 16, 8]",29,0.6445364238410596,0.37477662920698174
"MLP-[16, 64, 32, 16, 8]",30,0.6402317880794702,0.3719291192839001
