Epoch,Hit Ratio,NDCG
0,0.4463576158940397,0.24754471741950201
1,0.45380794701986754,0.2505754748486291
2,0.4736754966887417,0.2642263728504487
3,0.5014900662251656,0.2761807671936581
4,0.509271523178808,0.2829791572361205
5,0.5294701986754967,0.29303235200857103
6,0.5435430463576159,0.3009431760355078
7,0.5493377483443709,0.3055365543447502
8,0.5586092715231789,0.31090695914926886
9,0.5635761589403974,0.31230603883486147
10,0.5680463576158941,0.31778020257036704
11,0.5693708609271523,0.3193651384532818
12,0.5690397350993377,0.3194005692942735
13,0.5713576158940398,0.3219740424256622
14,0.578476821192053,0.3276748062441183
15,0.5814569536423841,0.32811650976705425
16,0.5837748344370861,0.33076269206647674
17,0.5892384105960264,0.3314632886370222
18,0.589569536423841,0.33284227347623596
19,0.5928807947019867,0.33580644983981744
20,0.5956953642384106,0.3367059940552464
21,0.5958609271523179,0.33769348133211635
22,0.601158940397351,0.3398374116361356
23,0.6023178807947019,0.34264830944159486
24,0.6036423841059603,0.3430886405296913
25,0.5998344370860927,0.34270786897307937
26,0.6052980132450331,0.34311644326779933
27,0.6052980132450331,0.3425507267900978
28,0.605794701986755,0.34311633906950656
29,0.6061258278145696,0.34287824746504636
30,0.6074503311258278,0.3459030684231954
31,0.6099337748344371,0.3466025829449651
32,0.6109271523178808,0.3478444423316843
33,0.6061258278145696,0.3448170812579195
34,0.6039735099337749,0.3441971771413934
35,0.6062913907284768,0.34411922116198984
36,0.6086092715231788,0.34831333634027556
37,0.6109271523178808,0.34671974940059674
38,0.6109271523178808,0.3482003751929005
39,0.6086092715231788,0.3479179397076742
40,0.6137417218543046,0.3473513921072017
41,0.6104304635761589,0.3473274727339875
42,0.6125827814569537,0.34937739655315475
43,0.6115894039735099,0.3476339880143697
44,0.6140728476821192,0.3519834884978193
45,0.6067880794701986,0.3483870443478875
46,0.6132450331125828,0.3520735916864461
47,0.6150662251655629,0.3535317429722702
48,0.615728476821192,0.3522823961238742
49,0.6158940397350994,0.35339282181171894
50,0.6096026490066225,0.35004243211259706
51,0.6082781456953642,0.3478252622811041
52,0.6114238410596027,0.34972163604178896
53,0.6139072847682119,0.352978989402571
54,0.6089403973509934,0.35046256821717703
55,0.6135761589403973,0.353315560199806
56,0.6130794701986755,0.3528515094609831
57,0.6135761589403973,0.35258954016005495
58,0.6102649006622517,0.3501815420802306
59,0.6153973509933774,0.3517738877760576
60,0.6144039735099338,0.351794278907374
61,0.6152317880794702,0.3521168447941109
62,0.6173841059602649,0.35498292784345736
63,0.6163907284768212,0.3537628204141584
64,0.6115894039735099,0.3532407223795191
65,0.6149006622516556,0.3539925836832447
66,0.6163907284768212,0.3548990993463772
67,0.6134105960264901,0.35216479959718755
68,0.6147350993377484,0.35449501753427004
69,0.618046357615894,0.3532272609650224
70,0.6155629139072848,0.3529875970364165
71,0.6150662251655629,0.3534160204527651
72,0.6167218543046358,0.3535067695945893
73,0.6160596026490066,0.35367948123810206
74,0.6193708609271523,0.35600287981389983
75,0.6182119205298013,0.3539771550729051
76,0.6165562913907284,0.3509230877756008
77,0.6160596026490066,0.35509661230291684
78,0.6167218543046358,0.3548323614559511
79,0.6200331125827815,0.35615297163024323
80,0.6132450331125828,0.3519024719083486
81,0.6152317880794702,0.3528870355161055
82,0.6158940397350994,0.3546909648436803
83,0.6172185430463576,0.356823243171639
84,0.6167218543046358,0.3562049906767601
85,0.6190397350993377,0.3558072010438434
86,0.6195364238410596,0.3551881275205177
87,0.6172185430463576,0.3548757276379108
88,0.6192052980132451,0.35654736511654256
89,0.6201986754966887,0.3579253724952474
90,0.6188741721854305,0.35506983173849166
91,0.6158940397350994,0.3535778164841027
92,0.622682119205298,0.35836187327078095
93,0.6210264900662251,0.35680732630165096
94,0.6195364238410596,0.3561112477070805
95,0.6201986754966887,0.3562685100880671
96,0.616225165562914,0.35364391132214756
97,0.6190397350993377,0.3550630137417582
98,0.6185430463576159,0.3557361110073554
99,0.6192052980132451,0.3563092529590711
